pdf_name,listenname,typ,beschreibung,code_raw,code_norm
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35401","35401"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35402","35402"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35405","35405"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35411","35411"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35412","35412"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35415","35415"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35421","35421"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35422","35422"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35425","35425"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35431","35431"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35432","35432"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_1","GOP","AmbPT – GOP-Kodes für alle psychotherapeutischen Therapieverfahren","35435","35435"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_2","GOP","AmbPT – GOP-Kodes für die psychotherapeutischen Therapieverfahren: Tiefenpsychologisch","fundierte Psychotherapie","fundiertePsychotherapie"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","GOP_AmbPT_2","GOP","AmbPT – GOP-Kodes für die psychotherapeutischen Therapieverfahren: Tiefenpsychologisch","Verhaltenstherapie und Systemische Therapie","VerhaltenstherapieundSystemischeTherapie"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","FA_SPCode_AmbPT","FA_SP Code","AmbPT – FA/SP Codes zur Kodierung für Facharztgruppenzugehörigkeit und Facharzt","68","68"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","FA_SPCode_AmbPT","FA_SP Code","AmbPT – FA/SP Codes zur Kodierung für Facharztgruppenzugehörigkeit und Facharzt","51","51"
"DeQS_AmbPT_EJ-2025_QIDB-RR-P_V02_2024-05-16.pdf","FA_SPCode_AmbPT","FA_SP Code","AmbPT – FA/SP Codes zur Kodierung für Facharztgruppenzugehörigkeit und Facharzt","58","58"
